Interval,Transfer(MB),Bitrate(MB),Retr,Cwnd(KB)
0.00-1.00,1.49,1.49,101,163
1.00-2.00,1.01,0.99,25,94.7
2.00-3.00,1.01,0.99,0,102
3.00-4.00,1.01,0.99,0,103
4.00-5.00,1.01,0.99,0,109
5.00-6.00,1.01,0.99,0,116
6.00-7.00,1.01,0.99,0,123
7.00-8.00,1.49,1.49,1,122
8.00-9.00,1.01,0.99,1,110
9.00-10.00,1.01,0.99,0,124
10.00-11.00,1.01,0.99,0,130
11.00-12.00,1.49,1.49,1,94.7
12.00-13.00,0.50,0.50,0,115
13.00-14.00,1.49,1.49,0,126
14.00-15.00,1.01,0.99,2,100
15.00-16.00,1.01,0.99,0,107
16.00-17.00,1.01,0.99,0,107
17.00-18.00,1.01,0.99,0,115
18.00-19.00,1.01,0.99,0,123
19.00-20.00,1.01,0.99,0,130
20.00-21.00,1.49,1.49,0,137
21.00-22.00,1.01,0.99,1,154
22.00-23.00,1.62,1.62,0,137
23.00-24.00,1.01,0.99,0,153
24.00-25.00,1.49,1.49,0,160
25.00-26.00,1.49,1.49,2,123
26.00-27.00,1.01,0.99,0,144
27.00-28.00,1.49,1.49,0,157
28.00-29.00,1.49,1.49,0,161
29.00-30.00,1.55,1.55,2,127
30.00-31.00,1.01,0.99,0,147
31.00-32.00,1.49,1.49,0,158
32.00-33.00,1.49,1.49,0,161
33.00-34.00,1.49,1.49,0,161
34.00-35.00,1.49,1.49,0,161
35.00-36.00,1.49,1.49,0,165
36.00-37.00,1.49,1.49,0,177
37.00-38.00,1.68,1.68,1,146
38.00-39.00,1.49,1.49,1,117
39.00-40.00,1.01,0.99,0,132
40.00-41.00,1.49,1.49,0,139
41.00-42.00,1.01,0.99,0,139
42.00-43.00,1.49,1.49,0,143
43.00-44.00,1.01,0.99,0,150
44.00-45.00,1.49,1.49,0,157
45.00-46.00,1.49,1.49,0,165
46.00-47.00,1.49,1.49,2,164
47.00-48.00,1.49,1.49,0,163
48.00-49.00,1.99,1.99,0,180
49.00-50.00,1.49,1.49,0,189
50.00-51.00,1.99,1.99,0,191
51.00-52.00,1.49,1.49,0,191
52.00-53.00,1.99,1.99,0,191
53.00-54.00,1.49,1.49,0,198
54.00-55.00,1.68,1.68,1,161
55.00-56.00,1.49,1.49,0,184
56.00-57.00,1.99,1.99,2,139
57.00-58.00,1.01,0.99,0,156
58.00-59.00,1.49,1.49,0,164
59.00-60.00,1.99,1.99,0,165
61.00-62.00,1.49,1.49,0,171
62.00-63.00,1.49,1.49,0,178
63.00-64.00,1.49,1.49,9,151
64.00-65.00,1.49,1.49,0,168
65.00-66.00,1.01,0.99,1,130
66.00-67.00,1.49,1.49,0,141
67.00-68.00,1.01,0.99,0,144
68.00-69.00,1.49,1.49,0,144
69.00-70.00,1.49,1.49,0,150
70.00-71.00,1.49,1.49,0,158
71.00-72.00,1.49,1.49,0,165
72.00-73.00,1.49,1.49,0,181
73.00-74.00,1.49,1.49,4,153
74.00-75.00,1.49,1.49,0,174
75.00-76.00,1.49,1.49,0,187
76.00-77.00,1.99,1.99,0,191
77.00-78.00,1.49,1.49,1,148
78.00-79.00,1.49,1.49,0,173
79.00-80.00,1.49,1.49,0,185
80.00-81.00,1.99,1.99,0,191
81.00-82.00,1.99,1.99,0,191
82.00-83.00,1.49,1.49,4,151
83.00-84.00,1.49,1.49,0,174
84.00-85.00,1.55,1.55,0,187
85.00-86.00,1.49,1.49,0,191
86.00-87.00,1.99,1.99,0,191
87.00-88.00,1.99,1.99,0,191
88.00-89.00,1.49,1.49,0,194
89.00-90.00,1.49,1.49,1,154
90.00-91.00,1.49,1.49,0,178
91.00-92.00,2.05,2.05,2,134
92.00-93.00,1.01,0.99,0,150
93.00-94.00,1.49,1.49,0,158
94.00-95.00,1.49,1.49,0,160
95.00-96.00,1.49,1.49,0,160
96.00-97.00,1.49,1.49,0,167
97.00-98.00,1.49,1.49,1,130
98.00-99.00,1.49,1.49,0,153
99.00-100.00,1.49,1.49,0,167
100.00-101.00,1.49,1.49,0,171
101.00-102.00,1.49,1.49,0,171
