Interval,Transfer(MB),Bitrate(MB),Retr,Cwnd(KB)
0.00-1.00 sec,1.37 MBytes,11.5 Mbits/sec,89,143 KBytes
1.00-2.00 sec,2.05 MBytes,17.2 Mbits/sec,2,113 KBytes
2.00-3.00 sec,1.01 MBytes,8.34 Mbits/sec,0,112 KBytes
3.00-4.00 sec,1.01 MBytes,8.34 Mbits/sec,0,119 KBytes
4.00-5.00 sec,1.01 MBytes,8.34 Mbits/sec,0,119 KBytes
5.00-6.00 sec,1.01 MBytes,8.34 Mbits/sec,0,124 KBytes
6.00-7.00 sec,1.49 MBytes,12.5 Mbits/sec,0,132 KBytes
7.00-8.00 sec,1.01 MBytes,8.34 Mbits/sec,0,139 KBytes
8.00-9.00 sec,1.12 MBytes,9.38 Mbits/sec,2,117 KBytes
9.00-10.00 sec,1.01 MBytes,8.34 Mbits/sec,0,133 KBytes
10.00-11.00 sec,1.49 MBytes,12.5 Mbits/sec,2,106 KBytes
11.00-12.00 sec,1.01 MBytes,8.34 Mbits/sec,0,113 KBytes
12.00-13.00 sec,1.01 MBytes,8.34 Mbits/sec,0,115 KBytes
13.00-14.00 sec,1.01 MBytes,8.34 Mbits/sec,0,120 KBytes
14.00-15.00 sec,1.01 MBytes,8.34 Mbits/sec,0,127 KBytes
15.00-16.00 sec,1.01 MBytes,8.34 Mbits/sec,0,134 KBytes
16.00-17.00 sec,1.49 MBytes,12.5 Mbits/sec,0,141 KBytes
17.00-18.00 sec,1.49 MBytes,12.5 Mbits/sec,0,164 KBytes
18.00-19.00 sec,1.49 MBytes,12.5 Mbits/sec,2,139 KBytes
19.00-20.00 sec,1.01 MBytes,8.34 Mbits/sec,0,160 KBytes
20.00-21.00 sec,1.49 MBytes,12.5 Mbits/sec,0,173 KBytes
21.00-22.00 sec,1.99 MBytes,16.7 Mbits/sec,0,175 KBytes
22.00-23.00 sec,1.49 MBytes,12.5 Mbits/sec,0,175 KBytes
23.00-24.00 sec,1.49 MBytes,12.5 Mbits/sec,0,175 KBytes
24.00-25.00 sec,1.49 MBytes,12.5 Mbits/sec,0,180 KBytes
25.00-26.00 sec,1.99 MBytes,16.7 Mbits/sec,0,191 KBytes
26.00-27.00 sec,1.55 MBytes,13.0 Mbits/sec,2,158 KBytes
27.00-28.00 sec,1.01 MBytes,8.34 Mbits/sec,4,123 KBytes
28.00-29.00 sec,1.49 MBytes,12.5 Mbits/sec,0,139 KBytes
29.00-30.00 sec,1.49 MBytes,12.5 Mbits/sec,0,146 KBytes
30.00-31.00 sec,1.01 MBytes,8.34 Mbits/sec,0,147 KBytes
31.00-32.00 sec,1.49 MBytes,12.5 Mbits/sec,0,148 KBytes
32.00-33.00 sec,1.49 MBytes,12.5 Mbits/sec,0,157 KBytes
33.00-34.00 sec,1.49 MBytes,12.5 Mbits/sec,0,162 KBytes
