Interval,Transfer(MB),Bitrate(MB),Retr,Cwnd(KB)
0.00-1.00,1.49,1.49,94,168
1.00-2.00,1.06,1.06,59,89.1
2.00-3.00,1.01,0.99,0,100
3.00-4.00,1.01,0.99,0,103
4.00-5.00,1.01,0.99,0,107
5.00-6.00,1.01,0.99,0,115
6.00-7.00,1.01,0.99,0,122
7.00-8.00,1.01,0.99,0,129
8.00-9.00,1.49,1.49,0,141
9.00-10.00,1.01,0.99,3,123
10.00-11.00,1.49,1.49,0,140
11.00-12.00,1.06,1.06,3,109
12.00-13.00,1.01,0.99,0,117
13.00-14.00,1.01,0.99,0,120
14.00-15.00,1.01,0.99,0,123
15.00-16.00,1.49,1.49,0,130
16.00-17.00,1.01,0.99,0,137
17.00-18.00,1.49,1.49,0,144
18.00-19.00,1.49,1.49,0,163
19.00-20.00,1.01,0.99,1,137
20.00-21.00,1.49,1.49,0,153
21.00-22.00,1.49,1.49,0,161
22.00-23.00,1.01,0.99,2,126
23.00-24.00,1.49,1.49,0,134
24.00-25.00,1.01,0.99,0,136
25.00-26.00,1.49,1.49,0,139
26.00-27.00,1.01,0.99,0,146
27.00-28.00,1.49,1.49,0,153
28.00-29.00,1.49,1.49,0,160
29.00-30.00,1.49,1.49,1,132
30.00-31.00,1.01,0.99,0,153
31.00-32.00,1.49,1.49,0,164
32.00-33.00,1.49,1.49,0,168
33.00-34.00,1.99,1.99,0,168
34.00-35.00,1.49,1.49,0,168
35.00-36.00,1.49,1.49,0,173
36.00-37.00,1.49,1.49,0,182
37.00-38.00,1.62,1.62,4,100
38.00-39.00,1.01,0.99,0,112
39.00-40.00,1.01,0.99,0,116
40.00-41.00,1.01,0.99,2,80.6
41.00-42.00,1.01,0.99,0,102
42.00-43.00,1.01,0.99,0,113
43.00-44.00,1.01,0.99,0,116
44.00-45.00,1.01,0.99,0,116
45.00-46.00,1.01,0.99,0,116
46.00-47.00,1.49,1.49,0,123
47.00-48.00,1.01,0.99,0,132
48.00-49.00,1.12,1.12,2,113
49.00-50.00,1.01,0.99,0,127
50.00-51.00,1.01,0.99,2,102
51.00-52.00,1.01,0.99,0,110
52.00-53.00,1.01,0.99,0,112
53.00-54.00,1.01,0.99,0,117
54.00-55.00,1.49,1.49,0,124
55.00-56.00,1.01,0.99,7,106
56.00-57.00,0.50,0.50,2,83.4
57.00-58.00,1.01,0.99,0,93.3
58.00-59.00,1.01,0.99,0,96.2
59.00-60.00,1.01,0.99,0,102
61.00-62.00,1.01,0.99,0,116
62.00-63.00,1.01,0.99,0,124
63.00-64.00,1.49,1.49,0,137
64.00-65.00,1.49,1.49,0,174
65.00-66.00,1.49,1.49,3,153
66.00-67.00,1.49,1.49,0,175
67.00-68.00,1.49,1.49,0,188
68.00-69.00,1.99,1.99,0,192
69.00-70.00,1.49,1.49,0,192
70.00-71.00,1.99,1.99,0,192
71.00-72.00,1.49,1.49,1,153
72.00-73.00,1.62,1.62,0,165
73.00-74.00,1.99,1.99,0,184
74.00-75.00,1.49,1.49,0,194
75.00-76.00,1.99,1.99,0,195
76.00-77.00,1.49,1.49,0,195
77.00-78.00,1.99,1.99,0,195
78.00-79.00,1.99,1.99,0,201
79.00-80.00,1.49,1.49,1,168
80.00-81.00,1.49,1.49,0,188
81.00-82.00,1.49,1.49,2,148
82.00-83.00,1.49,1.49,0,158
83.00-84.00,1.49,1.49,0,161
84.00-85.00,1.49,1.49,0,161
85.00-86.00,1.49,1.49,0,167
86.00-87.00,1.49,1.49,0,174
